M	d	Method	asymp_opt_power	Trial	Value
2	100	Unweighted Stack-SVD	0.12235958115417994	0	0.24474123540390907
2	100	Unweighted Stack-SVD	0.12235958115417994	1	0.35102972015133055
2	100	Unweighted Stack-SVD	0.12235958115417994	2	0.22578066559811805
2	100	Unweighted Stack-SVD	0.12235958115417994	3	0.33867642075226784
2	100	Unweighted Stack-SVD	0.12235958115417994	4	0.2351487039982339
2	100	Unweighted Stack-SVD	0.12235958115417994	5	0.008249562836755344
2	100	Unweighted Stack-SVD	0.12235958115417994	6	0.35377525409205557
2	100	Unweighted Stack-SVD	0.12235958115417994	7	0.28394875514593776
2	100	Unweighted Stack-SVD	0.12235958115417994	8	0.08201554948924253
2	100	Unweighted Stack-SVD	0.12235958115417994	9	0.12623169376445903
2	100	Unweighted Stack-SVD	0.12235958115417994	10	0.2647897272488247
2	100	Unweighted Stack-SVD	0.12235958115417994	11	0.024965181462236908
2	100	Unweighted Stack-SVD	0.12235958115417994	12	0.06405574405709126
2	100	Unweighted Stack-SVD	0.12235958115417994	13	0.368011839914289
2	100	Unweighted Stack-SVD	0.12235958115417994	14	0.14138641914125943
2	100	Unweighted Stack-SVD	0.12235958115417994	15	0.010802307038498351
2	100	Unweighted Stack-SVD	0.12235958115417994	16	0.2140966851941717
2	100	Unweighted Stack-SVD	0.12235958115417994	17	0.13968640409564875
2	100	Unweighted Stack-SVD	0.12235958115417994	18	0.47107461701971587
2	100	Unweighted Stack-SVD	0.12235958115417994	19	0.052927054154663096
2	100	Unweighted Stack-SVD	0.12235958115417994	20	0.27532823320947103
2	100	Unweighted Stack-SVD	0.12235958115417994	21	0.4038096294898695
2	100	Unweighted Stack-SVD	0.12235958115417994	22	0.26063555197371197
2	100	Unweighted Stack-SVD	0.12235958115417994	23	0.150084212808189
2	100	Unweighted Stack-SVD	0.12235958115417994	24	0.4045092552599557
2	100	Unweighted Stack-SVD	0.12235958115417994	25	0.2759488173725139
2	100	Unweighted Stack-SVD	0.12235958115417994	26	0.04526581123832171
2	100	Unweighted Stack-SVD	0.12235958115417994	27	0.16198456434845737
2	100	Unweighted Stack-SVD	0.12235958115417994	28	0.0049039626752419374
2	100	Unweighted Stack-SVD	0.12235958115417994	29	0.1609679342386258
2	100	Unweighted Stack-SVD	0.12235958115417994	30	0.2596773454148733
2	100	Unweighted Stack-SVD	0.12235958115417994	31	0.20615581509495914
2	100	Unweighted Stack-SVD	0.12235958115417994	32	0.13672116048881044
2	100	Unweighted Stack-SVD	0.12235958115417994	33	0.14438792846343074
2	100	Unweighted Stack-SVD	0.12235958115417994	34	0.03430298701374633
2	100	Unweighted Stack-SVD	0.12235958115417994	35	0.18672506236516442
2	100	Unweighted Stack-SVD	0.12235958115417994	36	0.2806587233848634
2	100	Unweighted Stack-SVD	0.12235958115417994	37	0.2904386526135837
2	100	Unweighted Stack-SVD	0.12235958115417994	38	0.42383551581026613
2	100	Unweighted Stack-SVD	0.12235958115417994	39	0.32769156820468287
2	100	Unweighted Stack-SVD	0.12235958115417994	40	0.3957092319302387
2	100	Unweighted Stack-SVD	0.12235958115417994	41	0.03472963055559231
2	100	Unweighted Stack-SVD	0.12235958115417994	42	0.2613121480612164
2	100	Unweighted Stack-SVD	0.12235958115417994	43	0.10967133277964711
2	100	Unweighted Stack-SVD	0.12235958115417994	44	0.12872337065804476
2	100	Unweighted Stack-SVD	0.12235958115417994	45	0.06048005882942685
2	100	Unweighted Stack-SVD	0.12235958115417994	46	0.3203078414152403
2	100	Unweighted Stack-SVD	0.12235958115417994	47	0.3998987387476351
2	100	Unweighted Stack-SVD	0.12235958115417994	48	0.30921086669172915
2	100	Unweighted Stack-SVD	0.12235958115417994	49	0.02034686445028281
2	100	Unweighted Stack-SVD	0.12235958115417994	50	0.14317846936392617
2	100	Unweighted Stack-SVD	0.12235958115417994	51	0.05605267676933599
2	100	Unweighted Stack-SVD	0.12235958115417994	52	0.15028518038433963
2	100	Unweighted Stack-SVD	0.12235958115417994	53	0.1953911589041618
2	100	Unweighted Stack-SVD	0.12235958115417994	54	0.07209727438153114
2	100	Unweighted Stack-SVD	0.12235958115417994	55	0.1694564922480306
2	100	Unweighted Stack-SVD	0.12235958115417994	56	0.33426279794908276
2	100	Unweighted Stack-SVD	0.12235958115417994	57	0.16791681790235538
2	100	Unweighted Stack-SVD	0.12235958115417994	58	0.4297358989369786
2	100	Unweighted Stack-SVD	0.12235958115417994	59	0.12080963579951924
2	100	Unweighted Stack-SVD	0.12235958115417994	60	0.11209475126181706
2	100	Unweighted Stack-SVD	0.12235958115417994	61	0.02027395647919383
2	100	Unweighted Stack-SVD	0.12235958115417994	62	0.2811597274242319
2	100	Unweighted Stack-SVD	0.12235958115417994	63	0.18323298045949613
2	100	Unweighted Stack-SVD	0.12235958115417994	64	0.0955445389433881
