Method	d	M	asymp_opt_power	mean	std_err
Unweighted Stack-SVD	5000	2	0.8611111111111112	0.8611027475433743	0.00028813957196191563
Weighted Stack-SVD	5000	2	0.8611111342906952	0.8611027475950505	0.00028813957879699143
Unweighted SVD-Stack	5000	2	0.857142857142857	0.8571123208699422	0.00030286107304956274
Weighted SVD-Stack	5000	2	0.8571428571428571	0.8571123209742925	0.00030286107259234064
Unweighted Stack-SVD	5000	3	0.903846153846154	0.9037312575217554	0.00020330501080303973
Weighted Stack-SVD	5000	3	0.9038461744785309	0.9037312577007593	0.00020330499773582833
Unweighted SVD-Stack	5000	3	0.9	0.8998349971510371	0.00020585769791372325
Weighted SVD-Stack	5000	3	0.8999999999999999	0.8998349970392497	0.00020585773257615386
Unweighted Stack-SVD	5000	5	0.9404761904761905	0.9404882946273527	0.00011676282799146793
Weighted Stack-SVD	5000	5	0.9404762089252472	0.9404882946763274	0.0001167628338024036
Unweighted SVD-Stack	5000	5	0.9374999999999992	0.9375888974643543	0.00012262040647922405
Weighted SVD-Stack	5000	5	0.9375	0.9375888974141592	0.00012262040810748692
Unweighted Stack-SVD	5000	10	0.9695121951219512	0.9695081812638969	5.240537172536509e-05
Weighted Stack-SVD	5000	10	0.9695121943950653	0.9695081812276038	5.2405374109021394e-05
Unweighted SVD-Stack	5000	10	0.9677419354838711	0.9677211775854694	5.64964865148735e-05
Weighted SVD-Stack	5000	10	0.967741935483871	0.9677211776050046	5.649648766277051e-05
