Method	d	M	asymp_opt_power	mean	std_err
Unweighted Stack-SVD	5000	5	0.616161616161616	0.6163217285170448	0.0009476583668234572
Weighted Stack-SVD	5000	5	0.7373737394809723	0.7370879709270243	0.0006395443936704685
Unweighted SVD-Stack	5000	5	0.714285714285714	0.712680333187827	0.0007729073483436384
Weighted SVD-Stack	5000	5	0.7142857142857143	0.7139654008776333	0.0007460926147143407
Unweighted Stack-SVD	5000	10	0.414141414141414	0.33362465054322177	0.010940770619769336
Weighted Stack-SVD	5000	10	0.7373737394809723	0.7378086542534752	0.0006074327680159515
Unweighted SVD-Stack	5000	10	0.714285714285714	0.7114113592535928	0.0007435157094277664
Weighted SVD-Stack	5000	10	0.7142857142857143	0.7146935875562666	0.00070017900978567
Unweighted Stack-SVD	5000	15	0.2121212121212119	0.05306099883502841	0.005251919406014383
Weighted Stack-SVD	5000	15	0.7373737394809723	0.7378834854086364	0.000601084307716073
Unweighted SVD-Stack	5000	15	0.714285714285714	0.708276590684569	0.000837515316647257
Weighted SVD-Stack	5000	15	0.7142857142857143	0.7144504421200204	0.0007291607851695553
Unweighted Stack-SVD	5000	20	0.010101010101009817	0.012589179260333093	0.0013602426598170064
Weighted Stack-SVD	5000	20	0.7373737394809723	0.7375393219613526	0.0005484285434531136
Unweighted SVD-Stack	5000	20	0.714285714285714	0.7065443137151424	0.0007530184677198846
Weighted SVD-Stack	5000	20	0.7142857142857143	0.7146303434929583	0.0006633381941285946
