Method	d	M	asymp_opt_power	mean	std_err
Unweighted Stack-SVD	100	3	0.6750700280112045	0.6846182346121463	0.005624687728366469
Weighted Stack-SVD	100	3	0.6853559911251068	0.6931985100614068	0.005543218127781569
Unweighted SVD-Stack	100	3	0.0	0.5128192897562155	0.011823361156914104
Weighted SVD-Stack	100	3	0.5555555555555557	0.5984258987805919	0.008672423747640545
Unweighted Stack-SVD	316	3	0.6750700280112045	0.6788799039322823	0.0029578496493512718
Weighted Stack-SVD	316	3	0.6853559911251068	0.6883847723864767	0.0027777660051136323
Unweighted SVD-Stack	316	3	0.0	0.4701897772633945	0.009292563993884647
Weighted SVD-Stack	316	3	0.5555555555555557	0.589304433099768	0.004342183227415917
Unweighted Stack-SVD	1000	3	0.6750700280112045	0.6761408572609418	0.0018774972478336738
Weighted Stack-SVD	1000	3	0.6853559911251068	0.6864888366269145	0.0018241896807438985
Unweighted SVD-Stack	1000	3	0.0	0.44935010669312136	0.007144299296530585
Weighted SVD-Stack	1000	3	0.5555555555555557	0.5822132525522378	0.002851634717395914
Unweighted Stack-SVD	3162	3	0.6750700280112045	0.6735487941675079	0.0010414278498830283
Weighted Stack-SVD	3162	3	0.6853559911251068	0.6839825121905001	0.0009696798592331319
Unweighted SVD-Stack	3162	3	0.0	0.39081334591865036	0.00726403196603922
Weighted SVD-Stack	3162	3	0.5555555555555557	0.5646602596060066	0.001549041956935443
Unweighted Stack-SVD	10000	3	0.6750700280112045	0.6745331105376425	0.0005058408171302927
Weighted Stack-SVD	10000	3	0.6853559911251068	0.6848165829787243	0.0004815904452580409
Unweighted SVD-Stack	10000	3	0.0	0.350256041385577	0.005687693856449716
Weighted SVD-Stack	10000	3	0.5555555555555557	0.5616847674319889	0.0008631021553214136
