Method	d	M	asymp_opt_power	mean	std_err
Unweighted Stack-SVD	100	2	0.8204334365325078	0.8234720988685642	0.0029131684340125133
Weighted Stack-SVD	100	2	0.8548562228679657	0.8595368587987635	0.002122854080544777
Unweighted SVD-Stack	100	2	0.46924533164669296	0.607369766093598	0.010675289305915419
Weighted SVD-Stack	100	2	0.8402203856749311	0.8497964722195449	0.0021029524804133805
Unweighted Stack-SVD	316	2	0.8204334365325078	0.8198575682273763	0.001460104670748074
Weighted Stack-SVD	316	2	0.8548562228679657	0.855471729631719	0.0011250174895732473
Unweighted SVD-Stack	316	2	0.46924533164669296	0.5756315694731131	0.009886345689232422
Weighted SVD-Stack	316	2	0.8402203856749311	0.8446280804226509	0.0011938624153901914
Unweighted Stack-SVD	1000	2	0.8204334365325078	0.8197144197873512	0.0009094227929836763
Weighted Stack-SVD	1000	2	0.8548562228679657	0.854714601428177	0.0006295123873607453
Unweighted SVD-Stack	1000	2	0.46924533164669296	0.5437771231668401	0.007538396038887052
Weighted SVD-Stack	1000	2	0.8402203856749311	0.8415427752366673	0.0007293890461457729
Unweighted Stack-SVD	3162	2	0.8204334365325078	0.8212729665146405	0.0004929811275241804
Weighted Stack-SVD	3162	2	0.8548562228679657	0.8548051598828991	0.0003771015597475168
Unweighted SVD-Stack	3162	2	0.46924533164669296	0.4973888974451284	0.006990496574360229
Weighted SVD-Stack	3162	2	0.8402203856749311	0.8404235397103744	0.000411595163028234
Unweighted Stack-SVD	10000	2	0.8204334365325078	0.8198823121117996	0.0002860470947457154
Weighted Stack-SVD	10000	2	0.8548562228679657	0.8544373326715011	0.00022979263922728106
Unweighted SVD-Stack	10000	2	0.46924533164669296	0.46506040025117273	0.01091846888829585
Weighted SVD-Stack	10000	2	0.8402203856749311	0.8399320152566131	0.0002627591304823956
