Method	d	M	asymp_opt_power	mean	std_err
Unweighted Stack-SVD	100	3	2.9605947323337496e-16	0.1628900872025738	0.013440867178272147
Weighted Stack-SVD	100	3	0.3333333432674408	0.3348136630561989	0.016027249559571646
Unweighted SVD-Stack	100	3	0.0	0.1627864790341652	0.013538100188450562
Weighted SVD-Stack	100	3	0.0	0.20210844005722398	0.014383802345870125
Unweighted Stack-SVD	316	3	2.9605947323337496e-16	0.08906776548238962	0.008585554152827904
Weighted Stack-SVD	316	3	0.3333333432674408	0.3260606543613187	0.010564585790346066
Unweighted SVD-Stack	316	3	0.0	0.12058280639328807	0.010249594111368374
Weighted SVD-Stack	316	3	0.0	0.14598863599912237	0.010266517206269941
Unweighted Stack-SVD	1000	3	2.9605947323337496e-16	0.06045982540553459	0.00622515273738493
Weighted Stack-SVD	1000	3	0.3333333432674408	0.31660064384406167	0.00895367814292657
Unweighted SVD-Stack	1000	3	0.0	0.07955721628191395	0.006135986801737541
Weighted SVD-Stack	1000	3	0.0	0.08898473058395676	0.006732568352805881
Unweighted Stack-SVD	3162	3	2.9605947323337496e-16	0.031287782976303906	0.003519156687930894
Weighted Stack-SVD	3162	3	0.3333333432674408	0.3125086052923897	0.00622798732198107
Unweighted SVD-Stack	3162	3	0.0	0.045394050008627396	0.004631614128959586
Weighted SVD-Stack	3162	3	0.0	0.056139980631366736	0.004511140764702339
Unweighted Stack-SVD	10000	3	2.9605947323337496e-16	0.00958263123565041	0.0012049547691301522
Weighted Stack-SVD	10000	3	0.3333333432674408	0.30630893605491366	0.005939304565555882
Unweighted SVD-Stack	10000	3	0.0	0.018900299641968113	0.002085560028264666
Weighted SVD-Stack	10000	3	0.0	0.02158712380047927	0.002230173206805446
